path,path_b64,reviewed_object_id,start_line,end_line,classification,batch,status,reviewer,verified_by,finding_ids,notes
src/database/db_connection.py,c3JjL2RhdGFiYXNlL2RiX2Nvbm5lY3Rpb24ucHk=,51dd314b50eee56ba0378bb93f9dced0457addbb,1,192,code,BATCH-001,verified,codex-root,codex-kierkegaard,PILOT-001;PILOT-003;PILOT-011,BATCH-001 all physical lines reviewed
src/main.py,c3JjL21haW4ucHk=,ee962dd7534bb56c0c107b6dbfb280922f0fa258,1,285,code,BATCH-001,verified,codex-root,codex-kierkegaard,PILOT-010,BATCH-001 all physical lines reviewed
src/services/service_factory.py,c3JjL3NlcnZpY2VzL3NlcnZpY2VfZmFjdG9yeS5weQ==,94b431234cbdfc3d8ccc25776ea5dec145698f01,1,790,code,BATCH-001,verified,codex-root,codex-kierkegaard,PILOT-004;PILOT-005;PILOT-013;PILOT-014,BATCH-001 all physical lines reviewed
src/ui/components/definition_generator_tab.py,c3JjL3VpL2NvbXBvbmVudHMvZGVmaW5pdGlvbl9nZW5lcmF0b3JfdGFiLnB5,d6e5808a00cda5048f6a171227a9be09bd4c3a1c,1,723,code,BATCH-001,verified,codex-root,codex-kierkegaard,PILOT-002;PILOT-007;PILOT-008;PILOT-009;PILOT-015;PILOT-016,BATCH-001 all physical lines reviewed
tests/smoke/test_critical_paths.py,dGVzdHMvc21va2UvdGVzdF9jcml0aWNhbF9wYXRocy5weQ==,39fc06e022556007c4d5b55acbdde04d7eb2a5a0,1,170,code,BATCH-001,verified,codex-root,codex-kierkegaard,PILOT-006;PILOT-012,BATCH-001 all physical lines reviewed
tests/unit/database/test_transactie_atomiciteit.py,dGVzdHMvdW5pdC9kYXRhYmFzZS90ZXN0X3RyYW5zYWN0aWVfYXRvbWljaXRlaXQucHk=,fa9fd400e87bb979e5630a975d15f7137e6b6909,1,251,code,BATCH-001,verified,codex-root,codex-kierkegaard,,BATCH-001 all physical lines reviewed
tests/unit/services/test_service_factory_caching.py,dGVzdHMvdW5pdC9zZXJ2aWNlcy90ZXN0X3NlcnZpY2VfZmFjdG9yeV9jYWNoaW5nLnB5,113c8e8f07e9978a9d4df948f31646411d5c4789,1,32,code,BATCH-001,verified,codex-root,codex-kierkegaard,,BATCH-001 all physical lines reviewed
tests/unit/ui/test_definition_generator_tab_generation_details.py,dGVzdHMvdW5pdC91aS90ZXN0X2RlZmluaXRpb25fZ2VuZXJhdG9yX3RhYl9nZW5lcmF0aW9uX2RldGFpbHMucHk=,05941581ea560a4059dfc446e0de7fa04ba4d2f1,1,138,code,BATCH-001,verified,codex-root,codex-kierkegaard,,BATCH-001 all physical lines reviewed
.github/ISSUE_TEMPLATE/bug_report.yml,LmdpdGh1Yi9JU1NVRV9URU1QTEFURS9idWdfcmVwb3J0LnltbA==,e6ecb5982dadef267a075e69b749b29300671ec4,1,146,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/ISSUE_TEMPLATE/config.yml,LmdpdGh1Yi9JU1NVRV9URU1QTEFURS9jb25maWcueW1s,32d3f1bbaee1fefc6ba794b7302dbfa1dc8fd047,1,12,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/ISSUE_TEMPLATE/feature_request.yml,LmdpdGh1Yi9JU1NVRV9URU1QTEFURS9mZWF0dXJlX3JlcXVlc3QueW1s,7990ddca3762e4aac12233f0b71ec8c7a01af531,1,129,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/dependabot.yml,LmdpdGh1Yi9kZXBlbmRhYm90LnltbA==,1f954337cbfe0f6a63bb956818b67fdf90aef054,1,62,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/labeler.yml,LmdpdGh1Yi9sYWJlbGVyLnltbA==,37331208387321b2b79d3ba3c0380dc4b25fc756,1,107,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/pull_request_template.md,LmdpdGh1Yi9wdWxsX3JlcXVlc3RfdGVtcGxhdGUubWQ=,e59f638625bd1f2fddff7e2a293e71480f13acb9,1,107,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/workflows/agent-quick-checks.yml,LmdpdGh1Yi93b3JrZmxvd3MvYWdlbnQtcXVpY2stY2hlY2tzLnltbA==,1b27f0f5c349dd97a0f1c3d005ba9731d51e29bd,1,43,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/workflows/ci.yml,LmdpdGh1Yi93b3JrZmxvd3MvY2kueW1s,55c890927a8238235032e3f18d082c23839c96be,1,56,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/workflows/contract-tests.yml,LmdpdGh1Yi93b3JrZmxvd3MvY29udHJhY3QtdGVzdHMueW1s,b45529aad660fe0db4c944839151d6e940618c27,1,125,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,B002-006,BATCH-002 full range independently verified
.github/workflows/coverage-badge.yml,LmdpdGh1Yi93b3JrZmxvd3MvY292ZXJhZ2UtYmFkZ2UueW1s,4cefe964a8ed2c36d67ce523f5f5329e6d25043e,1,60,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,B002-004,BATCH-002 full range independently verified
.github/workflows/docs-integrity.yml,LmdpdGh1Yi93b3JrZmxvd3MvZG9jcy1pbnRlZ3JpdHkueW1s,34e611ff7144bc6a2926b33e768858e69f841908,1,38,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/workflows/epic-010-gates.yml,LmdpdGh1Yi93b3JrZmxvd3MvZXBpYy0wMTAtZ2F0ZXMueW1s,4300460e9c42932e70da46620e61c1deb9d15535,1,188,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/workflows/epic-validation.yml,LmdpdGh1Yi93b3JrZmxvd3MvZXBpYy12YWxpZGF0aW9uLnltbA==,b7b7a1ff9d57c35f7148d2e5bb9fd57029bc3039,1,154,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,B002-003;B002-005,BATCH-002 full range independently verified
.github/workflows/labeler.yml,LmdpdGh1Yi93b3JrZmxvd3MvbGFiZWxlci55bWw=,0103373498ec081ba0004d478f03d4bb8f246333,1,20,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
.github/workflows/no-root-db-files.yml,LmdpdGh1Yi93b3JrZmxvd3Mvbm8tcm9vdC1kYi1maWxlcy55bWw=,e8ad656958d34073e133c4946ff1e8b7011cfcff,1,18,configuration,BATCH-002,verified,codex-kierkegaard,codex-hypatia,,BATCH-002 full range independently verified
