path,path_b64,git_mode,object_type,object_id,file_type,bytes,physical_lines,logical_lines,scope_tier,status,reviewer,verified_by,reviewed_at,finding_ids,notes
.claude/rules/patterns.md,LmNsYXVkZS9ydWxlcy9wYXR0ZXJucy5tZA==,100644,blob,e8fc17d96ba9b32c68ee68270333913dec41b134,text/markdown,2047,48,37,E,pending,,,,,
.claude/rules/project-rules.md,LmNsYXVkZS9ydWxlcy9wcm9qZWN0LXJ1bGVzLm1k,100644,blob,7961ccac0059b3611328d1dbee6675a85b54bf03,text/markdown,401,6,5,E,pending,,,,,
.claude/rules/streamlit-patterns.md,LmNsYXVkZS9ydWxlcy9zdHJlYW1saXQtcGF0dGVybnMubWQ=,100644,blob,b5b3be1e173477c31afe1fe0f6ba10f26528f6b6,text/markdown,964,34,26,E,pending,,,,,
.github/ISSUE_TEMPLATE/bug_report.yml,LmdpdGh1Yi9JU1NVRV9URU1QTEFURS9idWdfcmVwb3J0LnltbA==,100644,blob,e6ecb5982dadef267a075e69b749b29300671ec4,text/plain,3796,146,132,C,pending,,,,,
.github/ISSUE_TEMPLATE/config.yml,LmdpdGh1Yi9JU1NVRV9URU1QTEFURS9jb25maWcueW1s,100644,blob,32d3f1bbaee1fefc6ba794b7302dbfa1dc8fd047,text/plain,538,12,11,C,pending,,,,,
.github/ISSUE_TEMPLATE/feature_request.yml,LmdpdGh1Yi9JU1NVRV9URU1QTEFURS9mZWF0dXJlX3JlcXVlc3QueW1s,100644,blob,7990ddca3762e4aac12233f0b71ec8c7a01af531,text/plain,3679,129,116,C,pending,,,,,
.github/dependabot.yml,LmdpdGh1Yi9kZXBlbmRhYm90LnltbA==,100644,blob,1f954337cbfe0f6a63bb956818b67fdf90aef054,text/plain,1837,62,60,C,pending,,,,,
.github/labeler.yml,LmdpdGh1Yi9sYWJlbGVyLnltbA==,100644,blob,37331208387321b2b79d3ba3c0380dc4b25fc756,text/plain,2261,107,93,C,pending,,,,,
.github/pull_request_template.md,LmdpdGh1Yi9wdWxsX3JlcXVlc3RfdGVtcGxhdGUubWQ=,100644,blob,e59f638625bd1f2fddff7e2a293e71480f13acb9,text/markdown,3377,107,92,C,pending,,,,,
.github/workflows/agent-quick-checks.yml,LmdpdGh1Yi93b3JrZmxvd3MvYWdlbnQtcXVpY2stY2hlY2tzLnltbA==,100644,blob,1b27f0f5c349dd97a0f1c3d005ba9731d51e29bd,text/plain,1280,43,36,C,pending,,,,,
.github/workflows/ci.yml,LmdpdGh1Yi93b3JrZmxvd3MvY2kueW1s,100644,blob,55c890927a8238235032e3f18d082c23839c96be,text/plain,1648,56,47,C,pending,,,,,
.github/workflows/contract-tests.yml,LmdpdGh1Yi93b3JrZmxvd3MvY29udHJhY3QtdGVzdHMueW1s,100644,blob,b45529aad660fe0db4c944839151d6e940618c27,text/plain,4288,125,109,C,pending,,,,,
.github/workflows/coverage-badge.yml,LmdpdGh1Yi93b3JrZmxvd3MvY292ZXJhZ2UtYmFkZ2UueW1s,100644,blob,4cefe964a8ed2c36d67ce523f5f5329e6d25043e,text/plain,1956,60,52,C,pending,,,,,
.github/workflows/docs-integrity.yml,LmdpdGh1Yi93b3JrZmxvd3MvZG9jcy1pbnRlZ3JpdHkueW1s,100644,blob,34e611ff7144bc6a2926b33e768858e69f841908,text/plain,1089,38,32,C,pending,,,,,
.github/workflows/epic-010-gates.yml,LmdpdGh1Yi93b3JrZmxvd3MvZXBpYy0wMTAtZ2F0ZXMueW1s,100644,blob,4300460e9c42932e70da46620e61c1deb9d15535,text/plain,8199,188,169,C,pending,,,,,
.github/workflows/epic-validation.yml,LmdpdGh1Yi93b3JrZmxvd3MvZXBpYy12YWxpZGF0aW9uLnltbA==,100644,blob,b7b7a1ff9d57c35f7148d2e5bb9fd57029bc3039,text/plain,5039,154,134,C,pending,,,,,
.github/workflows/labeler.yml,LmdpdGh1Yi93b3JrZmxvd3MvbGFiZWxlci55bWw=,100644,blob,0103373498ec081ba0004d478f03d4bb8f246333,text/plain,379,20,16,C,pending,,,,,
.github/workflows/no-root-db-files.yml,LmdpdGh1Yi93b3JrZmxvd3Mvbm8tcm9vdC1kYi1maWxlcy55bWw=,100644,blob,e8ad656958d34073e133c4946ff1e8b7011cfcff,text/plain,330,18,14,C,pending,,,,,
.github/workflows/no-todo-markers.yml,LmdpdGh1Yi93b3JrZmxvd3Mvbm8tdG9kby1tYXJrZXJzLnltbA==,100644,blob,c949abd9e04302afe3f2433bbe2e3c05058943f7,text/plain,497,25,20,C,pending,,,,,
.github/workflows/pr-size-labeler.yml,LmdpdGh1Yi93b3JrZmxvd3MvcHItc2l6ZS1sYWJlbGVyLnltbA==,100644,blob,540e2202837834399208d9911c5e3d28adc7b668,text/plain,720,30,26,C,pending,,,,,
.github/workflows/quality-gates.yml,LmdpdGh1Yi93b3JrZmxvd3MvcXVhbGl0eS1nYXRlcy55bWw=,100644,blob,693dc11d88ebec7999666df1ec87af814a3a3422,text/plain,8902,238,199,C,pending,,,,,
.github/workflows/security.yml,LmdpdGh1Yi93b3JrZmxvd3Mvc2VjdXJpdHkueW1s,100644,blob,6d88d3886b61c35de414273b7efee93d09c76e4a,text/plain,5390,154,132,C,pending,,,,,
.github/workflows/test.yml,LmdpdGh1Yi93b3JrZmxvd3MvdGVzdC55bWw=,100644,blob,ddf7001a84879c1014031bb0dfffa600679d7798,text/plain,13184,283,257,C,pending,,,,,
.github/workflows/update-feature-status.yml,LmdpdGh1Yi93b3JrZmxvd3MvdXBkYXRlLWZlYXR1cmUtc3RhdHVzLnltbA==,100644,blob,9f8d7818e1a5eb973d02eff224fcbd5ba9586b59,text/plain,1407,52,42,C,pending,,,,,
.gitignore,LmdpdGlnbm9yZQ==,100644,blob,a21df1441704efc41d6bd2bbbcb65933d0807cd3,text/plain,3215,207,175,E,pending,,,,,
.gitleaks.toml,LmdpdGxlYWtzLnRvbWw=,100644,blob,663cc49c433f63aa696df07b087bd6f49b9540a9,text/plain,4049,141,126,D,pending,,,,,
.gitleaksignore,LmdpdGxlYWtzaWdub3Jl,100644,blob,b4dea8cffefbd628ff2ecb39b29daded2c9d4a27,text/plain,3942,56,49,E,pending,,,,,
