file	status	exitcode	duration_seconds	logpath
tests/integration/regression/test_validation_orchestrator_v2_regression.py	fail	1	4	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/039.log
tests/integration/repositories/test_synonym_registry_delete.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/040.log
tests/integration/repositories/test_synonym_registry_idempotent.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/041.log
tests/integration/repositories/test_synonym_registry_sql_injection.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/042.log
tests/integration/repositories/test_synonym_repository.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/043.log
tests/integration/security/test_logging_redaction.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/044.log
tests/integration/security/test_security_comprehensive.py	fail	1	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/045.log
tests/integration/services/orchestrators/test_definition_orchestrator_v2.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/046.log
tests/integration/services/orchestrators/test_definition_orchestrator_v2_enhancement_success.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/047.log
tests/integration/services/orchestrators/test_definition_orchestrator_v2_failure.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/048.log
tests/integration/services/orchestrators/test_definition_orchestrator_v2_feedback.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/049.log
tests/integration/services/orchestrators/test_definition_orchestrator_v2_happy.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/050.log
tests/integration/services/orchestrators/test_definition_orchestrator_v2_monitoring.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/051.log
tests/integration/services/prompts/test_modules_basic.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/052.log
tests/integration/services/test_batch_validation.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/053.log
tests/integration/services/test_brave_search_integration.py	skip	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/054.log
tests/integration/services/web_lookup/test_e2e_orchestrator_prompt.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/055.log
tests/integration/services/web_lookup/test_orchestrator_integration.py	skip	5	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/056.log
tests/integration/services/web_lookup/test_sru_integration.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/057.log
tests/integration/test_def_154_prompt_module_pipeline.py	skip	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/058.log
tests/integration/test_definition_save_integration.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/059.log
tests/integration/test_duplicate_detection_fix.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/060.log
tests/integration/test_export_levels_comprehensive.py	skip	0	4	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/061.log
tests/integration/test_history_removal.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/062.log
tests/integration/test_legacy_vs_new_parity.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/063.log
tests/integration/test_modular_prompt_builder.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/064.log
tests/integration/test_ontology_integration.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/065.log
tests/integration/test_per007_acceptance.py	fail	1	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/066.log
tests/integration/test_per007_single_source_red.py	fail	1	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/067.log
tests/integration/test_prompt_security_and_edge_cases.py	pass	0	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/068.log
tests/integration/test_rag_pipeline_integration.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/069.log
tests/integration/test_synonym_container_integration.py	fail	1	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/070.log
tests/integration/test_synonym_orchestrator_e2e.py	skip	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/071.log
tests/integration/test_synonym_suggester_e2e.py	skip	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/072.log
tests/integration/test_ui_integration.py	blocked	5	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/073.log
tests/integration/test_v2_orchestrator_integration.py	pass	0	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/074.log
tests/integration/test_validate_synonyms.py	fail	1	2	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/075.log
tests/integration/test_voorbeelden_validation_chain.py	fail	1	1	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-b/076.log
