file	status	exitcode	duration	logpath
tests/integration/compliance/test_architecture_consolidation.py	fail	1	1.53	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/01-tests_integration_compliance_test_architecture_consolidation.py.log
tests/integration/compliance/test_astra_nora_context_compliance.py	pass	0	3.58	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/02-tests_integration_compliance_test_astra_nora_context_compliance.py.log
tests/integration/compliance/test_per007_documentation_compliance.py	fail	1	3.35	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/03-tests_integration_compliance_test_per007_documentation_compliance.py.log
tests/integration/contracts/test_golden_definitions_contract.py	pass	0	3.34	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/04-tests_integration_contracts_test_golden_definitions_contract.py.log
tests/integration/contracts/test_mappers_contract.py	pass	0	3.33	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/05-tests_integration_contracts_test_mappers_contract.py.log
tests/integration/contracts/test_modular_validation_service_contract.py	pass	0	3.35	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/06-tests_integration_contracts_test_modular_validation_service_contract.py.log
tests/integration/contracts/test_validation_degraded_contract.py	pass	0	3.39	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/07-tests_integration_contracts_test_validation_degraded_contract.py.log
tests/integration/contracts/test_validation_interface.py	pass	0	3.66	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/08-tests_integration_contracts_test_validation_interface.py.log
tests/integration/contracts/test_validation_result_schema.py	pass	0	3.38	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/09-tests_integration_contracts_test_validation_result_schema.py.log
tests/integration/contracts/test_voorbeelden_contract.py	skip	5	3.29	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/10-tests_integration_contracts_test_voorbeelden_contract.py.log
tests/integration/contracts/test_web_lookup_contracts.py	pass	0	3.29	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/11-tests_integration_contracts_test_web_lookup_contracts.py.log
tests/integration/database/test_migration_009_versioning.py	pass	0	3.53	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/12-tests_integration_database_test_migration_009_versioning.py.log
tests/integration/database/test_unique_constraint_removal.py	fail	1	3.48	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/13-tests_integration_database_test_unique_constraint_removal.py.log
tests/integration/functionality/test_bulk_with_delay.py	skip	5	2.01	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/14-tests_integration_functionality_test_bulk_with_delay.py.log
tests/integration/functionality/test_deep_functionality.py	skip	5	2.10	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/15-tests_integration_functionality_test_deep_functionality.py.log
tests/integration/functionality/test_final_functionality.py	skip	5	2.00	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/16-tests_integration_functionality_test_final_functionality.py.log
tests/integration/functionality/test_metadata_fields.py	pass	0	3.34	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/17-tests_integration_functionality_test_metadata_fields.py.log
tests/integration/functionality/test_simple_functionality.py	skip	5	2.04	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/18-tests_integration_functionality_test_simple_functionality.py.log
tests/integration/golden/test_data.py	skip	5	1.99	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/19-tests_integration_golden_test_data.py.log
tests/integration/performance/test_context_flow_performance.py	pass	0	3.35	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/20-tests_integration_performance_test_context_flow_performance.py.log
tests/integration/performance/test_def110_regression.py	fail	1	39.82	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/21-tests_integration_performance_test_def110_regression.py.log
tests/integration/performance/test_def138_performance.py	pass	0	3.66	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/22-tests_integration_performance_test_def138_performance.py.log
tests/integration/performance/test_def66_lazy_loading.py	blocked	1	4.84	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/23-tests_integration_performance_test_def66_lazy_loading.py.log
tests/integration/performance/test_def90_validation_lazy_loading.py	blocked	1	3.48	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/24-tests_integration_performance_test_def90_validation_lazy_loading.py.log
tests/integration/performance/test_parallel_voorbeelden.py	pass	0	3.74	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/25-tests_integration_performance_test_parallel_voorbeelden.py.log
tests/integration/performance/test_per007_performance.py	fail	1	3.47	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/26-tests_integration_performance_test_per007_performance.py.log
tests/integration/performance/test_performance.py	pass	0	11.37	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/27-tests_integration_performance_test_performance.py.log
tests/integration/performance/test_performance_comprehensive.py	fail	1	10.17	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/28-tests_integration_performance_test_performance_comprehensive.py.log
tests/integration/performance/test_rule_cache_performance.py	fail	1	3.47	docs/reviews/2026-08-07-line-by-line/baseline/logs/integration-a/29-tests_integration_performance_test_rule_cache_performance.py.log
